Date,Reviewed,Payee,Business/Personal,Category,Exclusion,Amount
"Aug 19, 2026",no,Yogurt Zone,Personal,Dining & Drinks:Fast Food,no, -21.69
"Aug 18, 2026",no,Foreign Exchange,Personal,Financial,no, -1.49
"Jul 20, 2026",no,Royal,Personal,Financial,no, -5.41
"May 22, 2026",no,New York,Personal,Financial,no, -14.04
"Aug 19, 2026",no,New York,Personal,Financial,no, -24.02
"Jun 25, 2026",no,Indian Supermarket,Personal,Groceries,no, -7.51
"Jun 30, 2026",no,365 Market L 888 X32-32 Troy Mi 06/29,Personal,Groceries,no, -5.27
"Jun 12, 2026",no,Buon Giorno Coffee,Personal,Groceries,no, -13.87
"Jun 22, 2026",no,365 Market L 888 X32-32 Troy Mi 06/18,Personal,Groceries,no, -5.27
"Jun 29, 2026",no,365 Market L 888 X32-32 Troy Mi 06/26,Personal,Groceries,no, -3.03
"Jun 3, 2026",no,365 Market L 888 X32-32 Troy Mi 06/02,Personal,Groceries,no, -2.33
"Jun 11, 2026",no,365 Market L 888 X32-32 Troy Mi 06/10,Personal,Groceries,no, -5.83
"Jun 16, 2026",no,365 Market L 888 X32-32 Troy Mi 06/15,Personal,Groceries,no, -2.94
"Jun 22, 2026",no,365 Market L 888 X32-32 Troy Mi 06/18,Personal,Groceries,no, -2.33
"Jun 2, 2026",no,365 Market L 888 X32-32 Troy Mi 06/01,Personal,Groceries,no, -5.46
"Jun 8, 2026",no,White Rock Coffee,Personal,Groceries,no, -7.01
"Aug 4, 2026",no,365 Market L 888 X32-32 Troy Mi 08/03,Personal,Groceries,no, -2.33
"Jul 8, 2026",no,365 Market L 888 X32-32 Troy Mi 07/06,Personal,Groceries,no, -4.28
"Jul 20, 2026",no,Buon Giorno Coffee,Personal,Groceries,no, -20.83
"Jul 17, 2026",no,365 Market L 888 X32-32 Troy Mi 07/16,Personal,Groceries,no, -5.59
"Jul 21, 2026",no,365 Market L 888 X32-32 Troy Mi 07/20,Personal,Groceries,no, -3.26
"Jul 20, 2026",no,365 Market L 888 X32-32 Troy Mi 07/17,Personal,Groceries,no, -4.28
"May 29, 2026",no,365 Market L 888 X32-32 Troy Mi 05/28,Personal,Groceries,no, -2.33
"Jun 29, 2026",no,Absolute,Personal,Home,no, -182.94
"Aug 10, 2026",no,North East,Personal,Home,no, -30.00
"Jul 27, 2026",no,Absolute,Personal,Home,no, -27.06
"Jun 1, 2026",no,Solutions,Personal,Huntington Bank - Premier Savings 2683,yes, -10.00
"Jun 29, 2026",no,Zelle Payment To Baba Jpm99cn89sjh,Personal,Financial:Investment,no, -330.00
"Jun 5, 2026",no,Zelle Payment To Hina Siddiqui,Personal,Financial:Investment,no, -200.00
"Jul 17, 2026",no,Zelle Payment To Hina Siddiqui,Personal,Financial:Investment,no, -285.00
"Aug 17, 2026",no,"Zelle Payment From Quran Institute Of Dallas, Llc Bacq4d081t6v",Personal,Personal Income:Other Income,yes, 200.00
"Jun 12, 2026",no,Sundance Square Gosq.com Tx 06/11,Personal,Auto & Transport:Parking,no, -10.00
"Jun 5, 2026",no,Thomas Hunter La Payroll Ppd Id: Xxxxx5288v,Personal,Personal Income:Paycheck,yes, 401.72
"Jun 24, 2026",no,Thomas Hunter La Payroll Ppd Id: Xxxxx5288v,Personal,Personal Income:Paycheck,yes, 669.89
"Aug 14, 2026",no,Thomas Hunter La Payroll Ppd Id: Xxxxx5288v,Personal,Personal Income:Paycheck,yes, 1315.36
"Jul 17, 2026",no,Thomas Hunter La Payroll Ppd Id: Xxxxx5288v,Personal,Personal Income:Paycheck,yes, 565.18
"Jun 1, 2026",no,Atm Cash Deposit 05/31 8585 N Macarthur Blvd Irving Tx,Personal,Personal Income,yes, 2400.00
"Aug 3, 2026",no,Atm Cash Deposit 08/02 7825 N Macarthur Blvd Irving Tx,Personal,Personal Income,yes, 400.00
"Jul 29, 2026",no,Deposit Id Number Xx5267,Personal,Personal Income,yes, 135.00
"Jul 20, 2026",no,Petsmart,Personal,Pets:Pet Food & Supplies,no, -31.35
"Jul 30, 2026",no,H E B,Personal,Health:Pharmacy,no, -33.54
"Jun 12, 2026",no,Tst*pax & Beneficia Fort Worth Tx Tx 06/11,Personal,Dining & Drinks:Restaurants,no, -7.58
"Jun 12, 2026",no,Tst*hoya Fort Worth Tx 06/11,Personal,Dining & Drinks:Restaurants,no, -2.70
"Jun 22, 2026",no,Mila Cafe Waco Tx 06/20,Personal,Dining & Drinks:Restaurants,no, -6.41
"Jun 24, 2026",no,Tst*shugs-lemmon Dallas Tx 06/23,Personal,Dining & Drinks:Restaurants,no, -20.57
"Jun 29, 2026",no,Shakey's,Personal,Dining & Drinks:Restaurants,no, -14.07
"Jun 15, 2026",no,Tst*pax & Beneficia - L Irving Tx 06/13,Personal,Dining & Drinks:Restaurants,no, -7.03
"Aug 5, 2026",no,Crunchyroll A Xxx-xxx-3987 Ca 08/04,Personal,Dining & Drinks:Restaurants,no, -10.81
"Aug 10, 2026",no,Paris Baguette,Personal,Dining & Drinks:Restaurants,no, -29.87
"Aug 17, 2026",no,Paris Baguette,Personal,Dining & Drinks:Restaurants,no, -15.15
"Jul 10, 2026",no,Paris Baguette,Personal,Dining & Drinks:Restaurants,no, -10.65
"Jul 27, 2026",no,Paris Baguette,Personal,Dining & Drinks:Restaurants,no, -5.27
"Jul 6, 2026",no,Crunchyroll G.co/helppay# Ca 07/04,Personal,Dining & Drinks:Restaurants,no, -10.81
"Jul 14, 2026",no,Shakey's,Personal,Dining & Drinks:Restaurants,no, -15.22
"Jul 21, 2026",no,Paris Baguette,Personal,Dining & Drinks:Restaurants,no, -6.43
"Jul 31, 2026",no,Spo*escape360specialt Xxx-xxx-1427 Tx 07/30,Personal,Dining & Drinks:Restaurants,no, -58.47
"Jul 27, 2026",no,Paris Baguette,Personal,Dining & Drinks:Restaurants,no, -30.09
"Aug 19, 2026",no,Hello India Irving Tx,Personal,Dining & Drinks:Restaurants,no, -3.00
"Aug 13, 2026",no,White Rhino,Personal,Auto & Transport:Service & Parts,no, -32.39
"Jul 27, 2026",no,White Rhino,Personal,Auto & Transport:Service & Parts,no, -8.32
"Jun 1, 2026",no,Barakah Shops Irving Tx 05/31,Personal,Shopping,no, -37.89
"Jun 1, 2026",no,Kawaii Kollections Grapevine Tx 05/31,Personal,Shopping,no, -54.10
"Jun 23, 2026",no,Wal-mart,Personal,Shopping,no, -10.46
"Jun 1, 2026",no,Daiso,Personal,Shopping,no, -2.44
"Jun 8, 2026",no,Dollar Tree,Personal,Shopping,no, -9.20
"Jun 1, 2026",no,Target,Personal,Shopping,no, -18.30
"Jul 7, 2026",no,Wal-mart,Personal,Shopping,no, -15.48
"Jul 27, 2026",no,Lee Wrangler Grapevine Tx 07/26,Personal,Shopping,no, -40.58
"May 26, 2026",no,Chefstore 8107 Farmers Branc Tx 05/22,Personal,Shopping,no, -6.99
